3#
3;0;5.228733#
False;3;-1#
False;False;False;False;False;False#
3;-1;10;-4;-1;-1;-1;-1;-1!
3;0;10;4;-1;-1;-1;-1;-1!
2;1;10;-2;-1;-1;-1;-1;-1!
2;1;10;0;-1;-1;-1;-1;-1!
2;1;10;2;-1;-1;-1;-1;-1!
2;0;8;-4;-1;-1;-1;-1;-1!
2;0;6;-4;-1;-1;-1;-1;-1!
2;0;4;-4;-1;-1;-1;-1;-1!
2;0;2;-4;-1;-1;-1;-1;-1!
2;0;0;-4;-1;-1;-1;-1;-1!
2;0;-2;-4;-1;-1;-1;-1;-1!
2;2;8;4;-1;-1;-1;-1;-1!
2;2;6;4;-1;-1;-1;-1;-1!
2;2;4;4;-1;-1;-1;-1;-1!
2;2;2;4;-1;-1;-1;-1;-1!
2;2;0;4;-1;-1;-1;-1;-1!
2;2;-2;4;-1;-1;-1;-1;-1!
3;-1;-4;4;-1;-1;-1;-1;-1!
3;0;-4;-4;-1;-1;-1;-1;-1!
2;-1;-4;-2;-1;-1;-1;-1;-1!
2;-1;-4;0;-1;-1;-1;-1;-1!
2;-1;-4;2;-1;-1;-1;-1;-1!
13;0;-200;0;-1;-1;-1;-1;-1!
14;0;300;350;-1;-1;-1;-1;-1!
14;0;300;0;-1;-1;-1;-1;-1!
14;0;300;-350;-1;-1;-1;-1;-1!
